Date,Open,High,Low,Close,Adj Close,Volume
20-06-2014,223.5,223.929993,217.610001,220.559998,201.942459,742465
23-06-2014,220.399994,227.820007,218,220.089996,201.512131,1887460
24-06-2014,222.399994,224.759995,221.710007,223.660004,204.780792,590610
25-06-2014,224.779999,226.399994,222.199997,223.169998,204.332138,1065960
26-06-2014,224,224.960007,218.919998,220.529999,203.740891,1296510
27-06-2014,222.800003,238.600006,222,234.809998,216.933701,2884585
30-06-2014,236.199997,238,231.600006,234.5,216.647293,3141940
01-07-2014,236.369995,237.779999,233.220001,234.309998,216.471786,2658235
02-07-2014,237.75,238.399994,235,237.339996,219.271088,906705
03-07-2014,238.339996,241.589996,236.229996,238.649994,220.481369,1413050
04-07-2014,240.399994,243.699997,236.899994,239.820007,221.562332,1645075
07-07-2014,242.399994,246.509995,241.529999,244.860001,226.218597,1528235
08-07-2014,245.800003,245.979996,234.960007,237.369995,219.298782,951830
09-07-2014,238,241.949997,234.970001,237.880005,219.770004,820850
10-07-2014,238.440002,244.399994,236,241.690002,223.289948,1388490
11-07-2014,242.410004,249.600006,240.440002,242.940002,224.444778,1608745
14-07-2014,244.570007,244.990005,239.070007,242.289993,223.844238,780510
15-07-2014,244.570007,245.580002,238.039993,244.389999,225.784363,1958740
16-07-2014,243.399994,247,242.520004,244.320007,225.719727,610695
17-07-2014,243.240005,258,242.399994,256.140015,236.639847,1704660
18-07-2014,258.5,259.049988,253.619995,255.470001,236.020828,891975
21-07-2014,257.399994,257.790009,250.520004,251.630005,232.473221,700655
22-07-2014,251.630005,257.200012,249.399994,253.240005,233.960632,916485
23-07-2014,255.600006,255.600006,250.199997,252.720001,233.480209,1283560
24-07-2014,253.960007,253.979996,251,252.130005,232.935135,809075
25-07-2014,252.050003,253.740005,243.720001,247.279999,228.454391,795345
28-07-2014,248,249.279999,237.610001,242.199997,223.761108,1989245
30-07-2014,239.070007,242.679993,232.369995,233.449997,215.677261,1296895
31-07-2014,233.449997,241.479996,230.309998,239.589996,221.349777,1108250
01-08-2014,235.399994,238,231.600006,232.130005,214.457748,620560
04-08-2014,230.830002,233.789993,228,231.429993,213.81102,617035
05-08-2014,232.100006,240.729996,231.440002,239.25,221.035675,1343775
06-08-2014,239.960007,241.350006,235.020004,235.809998,217.857544,711840
07-08-2014,233.820007,235.75,231,233.75,215.954422,979260
08-08-2014,232.429993,237.070007,231.210007,236.190002,218.208649,923055
11-08-2014,237.009995,238.830002,231.600006,233.970001,216.157639,1463675
12-08-2014,234.220001,237.779999,234.220001,236.110001,218.13475,346390
